Kjønn,Alder,Antall,Årsverk,År,Utdanning
1,23,9.0,8.58033,2020,
1,24,44.0,37.883160000000004,2020,
1,25,93.0,82.21514,2020,
1,26,124.0,114.77193000000001,2020,
1,27,154.0,140.83236,2020,
1,28,166.0,158.22899,2020,
1,29,193.0,175.9911,2020,
1,30,194.0,180.2418,2020,
1,31,199.0,182.96064,2020,
1,32,195.0,184.91116000000002,2020,
1,33,201.0,194.37005,2020,
1,34,194.0,177.23916,2020,
1,35,192.0,176.85916,2020,
1,36,178.0,171.42306,2020,
1,37,176.0,165.70071000000002,2020,
1,38,141.0,131.69673,2020,
1,39,147.0,133.58100000000002,2020,
1,40,124.0,115.05808,2020,
1,41,102.0,92.69376,2020,
1,42,86.0,78.52464,2020,
1,43,95.0,88.73501,2020,
1,44,124.0,116.25586,2020,
1,45,120.0,111.81936,2020,
1,46,124.0,115.18416,2020,
1,47,141.0,126.33509,2020,
1,48,141.0,133.5717,2020,
1,49,154.0,139.9255,2020,
1,50,153.0,137.31575,2020,
1,51,160.0,143.7006,2020,
1,52,124.0,113.51954,2020,
1,53,121.0,102.97012,2020,
1,54,91.0,76.24206,2020,
1,55,71.0,57.95496,2020,
1,56,48.0,36.9056,2020,
1,57,49.0,46.610369999999996,2020,
1,58,41.0,34.66937,2020,
1,59,60.0,47.5398,2020,
1,60,47.0,40.34016,2020,
1,61,52.0,40.81616,2020,
1,62,43.0,30.0864,2020,
1,63,67.0,39.972089999999994,2020,
1,64,51.0,23.691689999999998,2020,
1,65,67.0,25.0647,2020,
1,66,89.0,27.05804,2020,
1,67,81.0,21.00224,2020,
1,68,68.0,11.481200000000001,2020,
1,69,49.0,6.975960000000001,2020,
1,70,31.0,0.8786100000000001,2020,
1,71,28.0,2.3062199999999997,2020,
1,72,15.0,1.4,2020,
1,73,11.0,0.53001,2020,
1,74,8.0,0.0,2020,
2,23,148.0,128.1574,2020,
2,24,444.0,381.123,2020,
2,25,727.0,641.93209,2020,
2,26,838.0,743.6589,2020,
2,27,874.0,782.25364,2020,
2,28,976.0,878.17912,2020,
2,29,1032.0,929.5619200000001,2020,
2,30,1156.0,1031.10646,2020,
2,31,1250.0,1126.1212,2020,
2,32,1353.0,1198.7121,2020,
2,33,1360.0,1189.77708,2020,
2,34,1327.0,1157.91464,2020,
2,35,1268.0,1121.92288,2020,
2,36,1291.0,1128.414,2020,
2,37,1292.0,1118.68008,2020,
2,38,1195.0,1029.09229,2020,
2,39,1165.0,1015.3781600000001,2020,
2,40,1137.0,978.81104,2020,
2,41,1163.0,994.80324,2020,
2,42,1192.0,1024.20864,2020,
2,43,1316.0,1121.3333599999999,2020,
2,44,1559.0,1355.5811700000002,2020,
2,45,1669.0,1438.3754,2020,
2,46,1780.0,1546.35962,2020,
2,47,1785.0,1506.9135199999998,2020,
2,48,1763.0,1513.5581,2020,
2,49,1781.0,1511.9325000000001,2020,
2,50,1779.0,1513.99102,2020,
2,51,1563.0,1328.4705,2020,
2,52,1528.0,1298.58135,2020,
2,53,1286.0,1065.80387,2020,
2,54,1123.0,918.6051,2020,
2,55,1067.0,861.1262399999999,2020,
2,56,952.0,747.68148,2020,
2,57,969.0,774.2096399999999,2020,
2,58,930.0,752.62434,2020,
2,59,930.0,726.5205500000001,2020,
2,60,984.0,784.4094,2020,
2,61,996.0,755.04127,2020,
2,62,974.0,601.6893,2020,
2,63,1018.0,512.3146,2020,
2,64,997.0,443.85944,2020,
2,65,1134.0,347.8566,2020,
2,66,987.0,195.46423000000001,2020,
2,67,942.0,112.72921,2020,
2,68,925.0,69.42475,2020,
2,69,744.0,50.0118,2020,
2,70,537.0,23.79915,2020,
2,71,438.0,15.75816,2020,
2,72,353.0,11.714839999999999,2020,
2,73,257.0,8.67238,2020,
2,74,264.0,7.24201,2020,
1,24,54.0,43.59187,2020,
1,25,159.0,136.48977000000002,2020,
1,26,246.0,225.32203,2020,
1,27,334.0,310.728,2020,
1,28,310.0,294.57666,2020,
1,29,326.0,303.45480000000003,2020,
1,30,363.0,344.93552,2020,
1,31,403.0,386.62826,2020,
1,32,337.0,327.68669,2020,
1,33,313.0,300.2054,2020,
1,34,275.0,266.5014,2020,
1,35,287.0,274.1784,2020,
1,36,308.0,294.27281,2020,
1,37,346.0,329.58576,2020,
1,38,343.0,327.654,2020,
1,39,371.0,358.03051999999997,2020,
1,40,376.0,359.5031,2020,
1,41,387.0,368.37472,2020,
1,42,415.0,396.171,2020,
1,43,415.0,393.51333,2020,
1,44,436.0,412.66841,2020,
1,45,483.0,460.71807,2020,
1,46,510.0,495.725,2020,
1,47,567.0,542.5322,2020,
1,48,604.0,572.22109,2020,
1,49,614.0,579.1536,2020,
1,50,564.0,535.5567599999999,2020,
1,51,540.0,511.67484,2020,
1,52,524.0,485.06703,2020,
1,53,467.0,423.1612,2020,
1,54,364.0,337.4884,2020,
1,55,277.0,250.37968,2020,
1,56,310.0,287.76232,2020,
1,57,248.0,215.6994,2020,
1,58,265.0,230.58398,2020,
1,59,256.0,211.5103,2020,
1,60,288.0,249.32635,2020,
1,61,310.0,271.2516,2020,
1,62,371.0,280.11361,2020,
1,63,421.0,279.96576,2020,
1,64,491.0,277.8993,2020,
1,65,491.0,220.95998999999998,2020,
1,66,549.0,186.23940000000002,2020,
1,67,639.0,158.49990000000003,2020,
1,68,687.0,127.82430000000001,2020,
1,69,763.0,114.45588000000001,2020,
1,70,712.0,83.69042,2020,
1,71,647.0,69.61381,2020,
1,72,550.0,48.87732999999999,2020,
1,73,632.0,54.18665,2020,
1,74,656.0,40.66326,2020,
2,23,1.0,0.0667,2020,
2,24,283.0,247.77272,2020,
2,25,712.0,632.01804,2020,
2,26,926.0,840.2044999999999,2020,
2,27,1041.0,966.88692,2020,
2,28,1143.0,1056.97872,2020,
2,29,1097.0,1022.3477700000001,2020,
2,30,1141.0,1070.41738,2020,
2,31,1108.0,1008.3436800000001,2020,
2,32,1062.0,979.49924,2020,
2,33,962.0,883.41492,2020,
2,34,844.0,773.8062500000001,2020,
2,35,983.0,909.33632,2020,
2,36,965.0,884.7273600000001,2020,
2,37,958.0,880.51922,2020,
2,38,971.0,893.4205499999999,2020,
2,39,1076.0,971.22625,2020,
2,40,1034.0,938.63256,2020,
2,41,1046.0,931.8688999999999,2020,
2,42,1151.0,1040.7537,2020,
2,43,1130.0,1012.28778,2020,
2,44,1181.0,1074.24904,2020,
2,45,1166.0,1045.76533,2020,
2,46,1216.0,1081.6777,2020,
2,47,1335.0,1194.06612,2020,
2,48,1338.0,1190.17047,2020,
2,49,1339.0,1203.42429,2020,
2,50,1291.0,1129.212,2020,
2,51,1142.0,989.8431999999999,2020,
2,52,1157.0,1001.09141,2020,
2,53,1105.0,952.83633,2020,
2,54,1012.0,873.33432,2020,
2,55,953.0,782.3770499999999,2020,
2,56,895.0,731.45254,2020,
2,57,781.0,641.1186,2020,
2,58,733.0,599.3851500000001,2020,
2,59,769.0,627.94625,2020,
2,60,826.0,678.13526,2020,
2,61,899.0,744.69486,2020,
2,62,981.0,660.30318,2020,
2,63,1041.0,603.28707,2020,
2,64,955.0,465.2389,2020,
2,65,1007.0,350.00336,2020,
2,66,1068.0,245.8638,2020,
2,67,1207.0,156.67968,2020,
2,68,1298.0,100.07797,2020,
2,69,1188.0,73.40205999999999,2020,
2,70,1062.0,49.3534,2020,
2,71,1001.0,43.83435,2020,
2,72,1032.0,34.34382,2020,
2,73,1135.0,30.01293,2020,
2,74,1211.0,26.598000000000003,2020,
1,23,5.0,2.13052,2020,
1,24,17.0,10.68,2020,
1,25,33.0,24.452180000000002,2020,
1,26,49.0,38.62452,2020,
1,27,76.0,66.111,2020,
1,28,87.0,77.67887,2020,
1,29,98.0,89.77215,2020,
1,30,99.0,92.05494,2020,
1,31,105.0,98.02199999999999,2020,
1,32,100.0,96.30656,2020,
1,33,93.0,85.11272,2020,
1,34,68.0,63.33405,2020,
1,35,74.0,67.5507,2020,
1,36,73.0,68.76776,2020,
1,37,56.0,51.11267,2020,
1,38,67.0,65.07468,2020,
1,39,50.0,45.10637,2020,
1,40,42.0,37.44824,2020,
1,41,42.0,38.698800000000006,2020,
1,42,46.0,42.20304,2020,
1,43,39.0,34.90524,2020,
1,44,36.0,34.445949999999996,2020,
1,45,44.0,39.92394,2020,
