  År  Utdanning OpptatteStudenter
2020         ba              3123
2021         ba              3123
2022         ba              3123
2023         ba              3123
2024         ba              3123
2025         ba              3123
2026         ba              3123
2027         ba              3123
2028         ba              3123
2029         ba              3123
2030         ba              3123
2031         ba              3123
2032         ba              3123
2033         ba              3123
2034         ba              3123
2035         ba              3123
2036         ba              3123
2037         ba              3123
2038         ba              3123
2039         ba              3123
2040         ba              3123
2020         gr              2877
2021         gr              2877
2022         gr              2877
2023         gr              2877
2024         gr              2877
2025         gr              2877
2026         gr              2877
2027         gr              2877
2028         gr              2877
2029         gr              2877
2030         gr              2877
2031         gr              2877
2032         gr              2877
2033         gr              2877
2034         gr              2877
2035         gr              2877
2036         gr              2877
2037         gr              2877
2038         gr              2877
2039         gr              2877
2040         gr              2877
2020         lu               729
2021         lu               729
2022         lu               729
2023         lu               729
2024         lu               729
2025         lu               729
2026         lu               729
2027         lu               729
2028         lu               729
2029         lu               729
2030         lu               729
2031         lu               729
2032         lu               729
2033         lu               729
2034         lu               729
2035         lu               729
2036         lu               729
2037         lu               729
2038         lu               729
2039         lu               729
2040         lu               729
2020         fa               729
2021         fa               729
2022         fa               729
2023         fa               729
2024         fa               729
2025         fa               729
2026         fa               729
2027         fa               729
2028         fa               729
2029         fa               729
2030         fa               729
2031         fa               729
2032         fa               729
2033         fa               729
2034         fa               729
2035         fa               729
2036         fa               729
2037         fa               729
2038         fa               729
2039         fa               729
2040         fa               729
2020         yr               729
2021         yr               729
2022         yr               729
2023         yr               729
2024         yr               729
2025         yr               729
2026         yr               729
2027         yr               729
2028         yr               729
2029         yr               729
2030         yr               729
2031         yr               729
2032         yr               729
2033         yr               729
2034         yr               729
2035         yr               729
2036         yr               729
2037         yr               729
2038         yr               729
2039         yr               729
2040         yr               729
2020         ph              1144
2021         ph              1144
2022         ph              1144
2023         ph              1144
2024         ph              1144
2025         ph              1144
2026         ph              1144
2027         ph              1144
2028         ph              1144
2029         ph              1144
2030         ph              1144
2031         ph              1144
2032         ph              1144
2033         ph              1144
2034         ph              1144
2035         ph              1144
2036         ph              1144
2037         ph              1144
2038         ph              1144
2039         ph              1144
2040         ph              1144
2020         py               561
2021         py               561
2022         py               561
2023         py               561
2024         py               561
2025         py               561
2026         py               561
2027         py               561
2028         py               561
2029         py               561
2030         py               561
2031         py               561
2032         py               561
2033         py               561
2034         py               561
2035         py               561
2036         py               561
2037         py               561
2038         py               561
2039         py               561
2040         py               561
