Education Age All Men Women
       ba  18   0   0     0
       ba  19 297  31   266
       ba  20 424  71   353
       ba  21 464 101   363
       ba  22 274  65   209
       ba  23 238  62   176
       ba  24 167  37   130
       ba  25 139  38   101
       ba  26 103  19    84
       ba  27  94  23    71
       ba  28  97  24    73
       ba  29  66  14    52
       ba  30  71  10    61
       ba  31  77  10    67
       ba  32  60  11    49
       ba  33  57   6    51
       ba  34  50  10    40
       ba  35  48   7    41
       ba  36  41   5    36
       ba  37  40   7    33
       ba  38  41   8    33
       ba  39  47   6    41
       ba  40  24   3    21
       ba  41  19   5    14
       ba  42  15   0    15
       ba  43  23   0    23
       ba  44  27   3    24
       ba  45  23   3    20
       ba  46  17   1    16
       ba  47  14   0    14
       ba  48  11   1    10
       ba  49  11   1    10
       gr  18   2   0     2
       gr  19 547 112   435
       gr  20 671 161   510
       gr  21 527 184   343
       gr  22 262 102   160
       gr  23 135  62    73
       gr  24  90  30    60
       gr  25  85  30    55
       gr  26  66  26    40
       gr  27  57  20    37
       gr  28  47  19    28
       gr  29  36  17    19
       gr  30  36  13    23
       gr  31  29  14    15
       gr  32  27  11    16
       gr  33  28   8    20
       gr  34  22  10    12
       gr  35  17   2    15
       gr  36  10   3     7
       gr  37  14   3    11
       gr  38  13   4     9
       gr  39  16   1    15
       gr  40  15   4    11
       gr  41  13   5     8
       gr  42  10   1     9
       gr  43  12   6     6
       gr  44  15   5    10
       gr  45   4   1     3
       gr  46   7   1     6
       gr  47  11   5     6
       gr  48   5   2     3
       gr  49   8   3     5
       lu  18   0   0     0
       lu  19 109  43    66
       lu  20 105  38    67
       lu  21 111  46    65
       lu  22  65  34    31
       lu  23  36  22    14
       lu  24  26  12    13
       lu  25  18   7    11
       lu  26  15   8     6
       lu  27   9   6     3
       lu  28  16   9     7
       lu  29  12   7     5
       lu  30  11   6     6
       lu  31   9   5     4
       lu  32  10   4     6
       lu  33   9   5     4
       lu  34   8   5     4
       lu  35  10   6     4
       lu  36   8   5     2
       lu  37   8   4     4
       lu  38   7   4     3
       lu  39   8   3     5
       lu  40   8   4     5
       lu  41   6   4     2
       lu  42   6   3     3
       lu  43   8   2     7
       lu  44   7   4     3
       lu  45   8   3     5
       lu  46   7   4     3
       lu  47   8   4     4
       lu  48   6   3     3
       lu  49   7   4     3
       ph  18   0   0     0
       ph  19   0   0     0
       ph  20   0   0     0
       ph  21   4   0     4
       ph  22  27  15    12
       ph  23  39  16    23
       ph  24  93  50    43
       ph  25 137  71    66
       ph  26 104  51    53
       ph  27  79  40    39
       ph  28  77  41    36
       ph  29  57  23    34
       ph  30  54  25    29
       ph  31  52  20    32
       ph  32  41  25    16
       ph  33  42  16    26
       ph  34  25   9    16
       ph  35  28  15    13
       ph  36  19   6    13
       ph  37  21   6    15
       ph  38  17   5    12
       ph  39  13   4     9
       ph  40  13   5     8
       ph  41  26   8    18
       ph  42  21   4    17
       ph  43  21   5    16
       ph  44  16   8     8
       ph  45  13   7     6
       ph  46  14   4    10
       ph  47   7   1     6
       ph  48  13   3    10
       ph  49  16   6    10
       pe  18   0   0     0
       pe  19 109  43    66
       pe  20 105  38    67
       pe  21 111  46    65
       pe  22  65  34    31
       pe  23  36  22    14
       pe  24  26  12    13
       pe  25  18   7    11
       pe  26  15   8     6
       pe  27   9   6     3
       pe  28  16   9     7
       pe  29  12   7     5
       pe  30  11   6     6
       pe  31   9   5     4
       pe  32  10   4     6
       pe  33   9   5     4
       pe  34   8   5     4
       pe  35  10   6     4
       pe  36   8   5     2
       pe  37   8   4     4
       pe  38   7   4     3
       pe  39   8   3     5
       pe  40   8   4     5
       pe  41   6   4     2
       pe  42   6   3     3
       pe  43   8   2     7
       pe  44   7   4     3
       pe  45   8   3     5
       pe  46   7   4     3
       pe  47   8   4     4
       pe  48   6   3     3
       pe  49   7   4     3
       yr  18   0   0     0
       yr  19 109  43    66
       yr  20 105  38    67
       yr  21 111  46    65
       yr  22  65  34    31
       yr  23  36  22    14
       yr  24  26  12    13
       yr  25  18   7    11
       yr  26  15   8     6
       yr  27   9   6     3
       yr  28  16   9     7
       yr  29  12   7     5
       yr  30  11   6     6
       yr  31   9   5     4
       yr  32  10   4     6
       yr  33   9   5     4
       yr  34   8   5     4
       yr  35  10   6     4
       yr  36   8   5     2
       yr  37   8   4     4
       yr  38   7   4     3
       yr  39   8   3     5
       yr  40   8   4     5
       yr  41   6   4     2
       yr  42   6   3     3
       yr  43   8   2     7
       yr  44   7   4     3
       yr  45   8   3     5
       yr  46   7   4     3
       yr  47   8   4     4
       yr  48   6   3     3
       yr  49   7   4     3
       py  18   0   0     0
       py  19   0   0     0
       py  20   0   0     0
       py  21   0   0     0
       py  22   1   0     1
       py  23   2   1     1
       py  24   4   1     3
       py  25   7   1     6
       py  26  16   5    11
       py  27  16   7     9
       py  28  27   8    19
       py  29  20   6    14
       py  30  22   9    13
       py  31  25   7    18
       py  32  23   6    17
       py  33  21   6    15
       py  34  21   9    12
       py  35  27   9    18
       py  36  24   8    16
       py  37  20   4    16
       py  38  21   8    13
       py  39  24   8    16
       py  40  22   6    16
       py  41  19   4    15
       py  42  14   5     9
       py  43  14   4    10
       py  44  14   2    12
       py  45  18   7    11
       py  46  18   8    10
       py  47  22   7    15
       py  48  10   4     6
       py  49  12   6     6
