FromAge ToAge   Users    UserIndex
     19    19   13092       1.0000
     20    20   22985       1.0000
     21    21   29944       1.0000
     22    22   28830       1.0000
     23    23   26660       1.0000
     24    24   22444       1.0000
     25    25   17992       1.0000
     26    26   13577       1.0000
     27    27   10802       1.0000
     28    28    9175       1.0000
     29    29    7909       1.0000
     30    34   28519       1.0000
     35    39   19469       1.0000
     40    44   14842       1.0000
     45    49   12498       1.0000
