,yrke,aar,aarsverk,level_0,index,barnplus,grskplus,viskplus,uhskplus,anskplus,utskplus,dm1,dp1,dem1,dm2,dp2,dem2,dm3,dp3,dem3,dm4,dp4,dem4,dm5,dp5,dem5,dm6,dp6,dem6,totm,ar1,ar2,ar3,ar4,ar5,ar6,vak1,vak2,vak3,vak4,vak5,vak6,epd1,ep1,epd2,ep2,epd3,ep3,epd4,ep4,epd5,ep5,epd6,ep6,espd,esp,vaksum,asum,vakans
0,ba,2020,47126.0830648142,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,351159,1.0,1.0,642376,1.0,1.0,5366461,1.0,1.0,2232546,1.0,1.0,5366461,1.0,1.0,5366461,5366461,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,41653.0,41653.0,8177.0,8177.0,462.0,462.0,637.0,637.0,1624.0,1624.0,11393.0,11393.0,63946.0,63946.0,10305,53641,-16819.9169351858
1,ba,2021,48004.62975839099,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.983821849111939,1.0,343764,0.9979871601678769,1.0,641083,1.0030876783445304,1.0,5390099,0.9944181079471534,1.0,2227775,1.0044047650770218,1.0,5390099,1.0044047650770218,1.0,5390099,5390099,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,40979.131481059594,40979.131481059594,8160.5410086927295,8160.5410086927295,463.426507395173,463.426507395173,633.4443347623367,633.4443347623367,1631.1533384850834,1631.1533384850834,11443.183488522509,11443.183488522509,63310.88015891743,63310.88015891743,10305,53641,-15306.250400526442
2,ba,2022,49054.446225357366,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9636591761619963,1.0,340693,0.9968896720923572,1.0,640378,1.0100707500983597,1.0,5423961,0.9918927264039259,1.0,2227532,1.0107146963333935,1.0,5423961,1.0107146963333935,1.0,5423961,5423961,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,40139.29566467563,40139.29566467563,8151.566848699205,8151.566848699205,466.6526865454422,466.6526865454422,631.8356667193008,631.8356667193008,1641.400666845431,1641.400666845431,11515.072535326351,11515.072535326351,62545.82406881136,62545.82406881136,10305,53641,-13491.377843453993
3,ba,2023,50110.97840053061,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9521495738690212,1.0,335470,0.9918723613584568,1.0,637155,1.0210094428432717,1.0,5444136,0.9861175255439406,1.0,2218394,1.014474157177328,1.0,5444136,1.014474157177328,1.0,5444136,5444136,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,39659.88620036634,39659.88620036634,8110.540298828101,8110.540298828101,471.7063625935915,471.7063625935915,628.1568637714902,628.1568637714902,1647.5060312559806,1647.5060312559806,11557.904072721298,11557.904072721298,62075.699829536796,62075.699829536796,10305,53641,-11964.72142900619
4,ba,2024,51172.690587174824,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9408561174661789,1.0,332780,0.9834754100402259,1.0,631761,1.0293977906119722,1.0,5470800,0.9830514474231506,1.0,2218800,1.0194427947953038,1.0,5470800,1.0194427947953038,1.0,5470800,5470800,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,39189.47986081875,39189.47986081875,8041.878427898927,8041.878427898927,475.5817792627312,475.5817792627312,626.2037720085469,626.2037720085469,1655.5750987475733,1655.5750987475733,11614.511761102896,11614.511761102896,61603.23069983943,61603.23069983943,10305,53641,-10430.540112664603
5,ba,2025,52231.80099243067,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9372225031298821,1.0,332010,0.9699210431273898,1.0,623054,1.044057530230238,1.0,5497297,0.9810920016971961,1.0,2219246,1.0243803132082763,1.0,5497297,1.0243803132082763,1.0,5497297,5497297,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,39038.12892286898,39038.12892286898,7931.044369652666,7931.044369652666,482.35457896636996,482.35457896636996,624.955605081114,624.955605081114,1663.5936286502406,1663.5936286502406,11670.764908381892,11670.764908381892,61410.84201360126,61410.84201360126,10305,53641,-9179.04102117059
6,ba,2026,53290.26089850663,6,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9375819923980829,1.0,332506,0.9537965303809609,1.0,612696,1.0583534320993038,1.0,5523946,0.981209017382164,1.0,2224270,1.0293461556880783,1.0,5523946,1.0293461556880783,1.0,5523946,5523946,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,39053.10272935735,39053.10272935735,7799.194228925117,7799.194228925117,488.95928562987837,488.95928562987837,625.0301440724385,625.0301440724385,1671.6581568374393,1671.6581568374393,11727.340751754276,11727.340751754276,61365.28529657649,61365.28529657649,10305,53641,-8075.024398069858
7,ba,2027,54321.80285858336,7,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9387460089691986,1.0,333640,0.9392723264879139,1.0,603366,1.0659232347786827,1.0,5550278,0.9827099419445929,1.0,2230558,1.0342529275811378,1.0,5550278,1.0342529275811378,1.0,5550278,5550278,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,39101.58751159403,39101.58751159403,7680.429813691672,7680.429813691672,492.4565344677514,492.4565344677514,625.9862330187057,625.9862330187057,1679.626754391768,1679.626754391768,11783.243603931904,11783.243603931904,61363.330451095826,61363.330451095826,10305,53641,-7041.527592512466
8,ba,2028,55326.608303230365,8,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9429467088807401,1.0,335576,0.927027161662329,1.0,595500,1.0585526428462897,1.0,5576417,0.9867004435081238,1.0,2239964,1.039123735363026,1.0,5576417,1.039123735363026,1.0,5576417,5576417,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,39276.55926500946,39276.55926500946,7580.301100912864,7580.301100912864,489.0513209949858,489.0513209949858,628.5281825146749,628.5281825146749,1687.5369462295544,1687.5369462295544,11838.736716990956,11838.736716990956,61500.7135326525,61500.7135326525,10305,53641,-6174.105229422137
9,ba,2029,56273.13606764919,9,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9506577645273045,1.0,338487,0.9149298853008211,1.0,587729,1.0460154873661995,1.0,5602282,0.9920824463628116,1.0,2248521,1.0439434852876037,1.0,5602282,1.0439434852876037,1.0,5602282,5602282,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,39597.74786585582,39597.74786585582,7481.381672104814,7481.381672104814,483.2591551631842,483.2591551631842,631.956518333111,631.956518333111,1695.3642201070684,1695.3642201070684,11893.64812788167,11893.64812788167,61783.35755944567,61783.35755944567,10305,53641,-5510.221491796481
