Education,Year,Supply,Demand,Difference
Preschool Teachers,2020,47134,47134,0
Preschool Teachers,2021,48006,46522,1484
Preschool Teachers,2022,49060,45972,3088
Preschool Teachers,2023,50122,45817,4304
Preschool Teachers,2024,51189,45549,5640
Preschool Teachers,2025,52255,45402,6853
Preschool Teachers,2026,53320,45341,7979
Preschool Teachers,2027,54361,45379,8982
Preschool Teachers,2028,55376,45502,9874
Preschool Teachers,2029,56336,45707,10629
Preschool Teachers,2030,57221,45943,11278
Preschool Teachers,2031,58032,46193,11839
Preschool Teachers,2032,58747,46442,12305
Preschool Teachers,2033,59369,46696,12673
Preschool Teachers,2034,59914,46986,12928
Preschool Teachers,2035,60372,47308,13065
Preschool Teachers,2036,60786,47652,13134
Preschool Teachers,2037,61179,48013,13165
Preschool Teachers,2038,61582,48348,13234
Preschool Teachers,2039,62014,48608,13406
Preschool Teachers,2040,62497,48793,13704
Primary School Teachers,2020,52497,52497,0
Primary School Teachers,2021,52777,52459,318
Primary School Teachers,2022,53242,52487,755
Primary School Teachers,2023,53765,52346,1418
Primary School Teachers,2024,54345,52084,2261
Primary School Teachers,2025,54965,51638,3327
Primary School Teachers,2026,55593,51095,4498
Primary School Teachers,2027,56253,50601,5652
Primary School Teachers,2028,56894,50166,6728
Primary School Teachers,2029,57499,49727,7773
Primary School Teachers,2030,58042,49404,8637
Primary School Teachers,2031,58526,49125,9401
Primary School Teachers,2032,58935,48904,10031
Primary School Teachers,2033,59263,48741,10521
Primary School Teachers,2034,59534,48739,10795
Primary School Teachers,2035,59748,48844,10905
Primary School Teachers,2036,59940,49013,10926
Primary School Teachers,2037,60123,49230,10893
Primary School Teachers,2038,60302,49495,10807
Primary School Teachers,2039,60504,49814,10690
Primary School Teachers,2040,60720,50150,10570
Teachers with a Master's Degree,2020,5534,5534,0
Teachers with a Master's Degree,2021,5962,5541,421
Teachers with a Master's Degree,2022,6432,5561,872
Teachers with a Master's Degree,2023,6903,5575,1328
Teachers with a Master's Degree,2024,7374,5583,1791
Teachers with a Master's Degree,2025,7844,5594,2251
Teachers with a Master's Degree,2026,8308,5601,2707
Teachers with a Master's Degree,2027,8769,5601,3168
Teachers with a Master's Degree,2028,9220,5582,3638
Teachers with a Master's Degree,2029,9668,5557,4111
Teachers with a Master's Degree,2030,10103,5531,4572
Teachers with a Master's Degree,2031,10533,5512,5021
Teachers with a Master's Degree,2032,10954,5499,5455
Teachers with a Master's Degree,2033,11370,5494,5876
Teachers with a Master's Degree,2034,11782,5480,6302
Teachers with a Master's Degree,2035,12191,5462,6729
Teachers with a Master's Degree,2036,12590,5449,7142
Teachers with a Master's Degree,2037,12990,5450,7539
Teachers with a Master's Degree,2038,13389,5460,7929
Teachers with a Master's Degree,2039,13786,5473,8313
