Utdanning,År,Tilbud,Etterspørsel,Differanse
Barnehagelærere,2024,47134,47134,0
Barnehagelærere,2025,48006,46876,1130
Barnehagelærere,2026,49060,46625,2434
Barnehagelærere,2027,50122,46667,3454
Barnehagelærere,2028,51189,46712,4477
Barnehagelærere,2029,52255,47136,5119
Barnehagelærere,2030,53320,47567,5753
Barnehagelærere,2031,54361,47932,6429
Barnehagelærere,2032,55376,48242,7134
Barnehagelærere,2033,56336,48506,7830
Barnehagelærere,2034,57221,48777,8444
Barnehagelærere,2035,58032,49084,8948
Barnehagelærere,2036,58747,49413,9335
Barnehagelærere,2037,59369,49768,9601
Barnehagelærere,2038,59914,50016,9898
Barnehagelærere,2039,60372,50231,10142
Barnehagelærere,2040,60786,50383,10403
Barnehagelærere,2041,61179,50492,10687
Barnehagelærere,2042,61582,50547,11035
Barnehagelærere,2043,62014,50575,11439
Barnehagelærere,2044,62497,50566,11931
Barnehagelærere,2045,63019,50516,12503
Barnehagelærere,2046,63580,50423,13158
Barnehagelærere,2047,64177,50284,13893
Barnehagelærere,2048,64779,50107,14672
Barnehagelærere,2049,65359,49892,15467
Barnehagelærere,2050,65906,49646,16260
Barnehagelærere,2051,66423,49378,17045
Barnehagelærere,2052,66881,49100,17781
Barnehagelærere,2053,67274,48826,18448
Barnehagelærere,2054,67628,48569,19059
Barnehagelærere,2055,67947,48336,19611
Barnehagelærere,2056,68251,48139,20112
Barnehagelærere,2057,68526,47982,20544
Barnehagelærere,2058,68793,47870,20923
Barnehagelærere,2059,69065,47803,21262
Barnehagelærere,2060,69337,47781,21557
Grunnskolelærere,2024,52497,52497,0
Grunnskolelærere,2025,52777,52337,440
Grunnskolelærere,2026,53242,51955,1287
Grunnskolelærere,2027,53765,51408,2357
Grunnskolelærere,2028,54345,51097,3248
Grunnskolelærere,2029,54965,50519,4446
Grunnskolelærere,2030,55593,50047,5546
Grunnskolelærere,2031,56253,49641,6611
Grunnskolelærere,2032,56894,49313,7581
Grunnskolelærere,2033,57499,49082,8418
Grunnskolelærere,2034,58042,49043,8999
Grunnskolelærere,2035,58526,49106,9420
Grunnskolelærere,2036,58935,49227,9708
Grunnskolelærere,2037,59263,49457,9806
Grunnskolelærere,2038,59534,49579,9955
Grunnskolelærere,2039,59748,49958,9790
Grunnskolelærere,2040,59940,50370,9569
Grunnskolelærere,2041,60123,50765,9358
Grunnskolelærere,2042,60302,51170,9132
Grunnskolelærere,2043,60504,51501,9003
Grunnskolelærere,2044,60720,51768,8952
Grunnskolelærere,2045,60980,51999,8981
Grunnskolelærere,2046,61255,52197,9059
Grunnskolelærere,2047,61540,52357,9182
Grunnskolelærere,2048,61855,52481,9374
Grunnskolelærere,2049,62184,52559,9625
Grunnskolelærere,2050,62524,52583,9941
Grunnskolelærere,2051,62882,52551,10331
Grunnskolelærere,2052,63274,52457,10817
Grunnskolelærere,2053,63678,52332,11346
Grunnskolelærere,2054,64056,52173,11882
Grunnskolelærere,2055,64408,51981,12427
Grunnskolelærere,2056,64714,51761,12953
Grunnskolelærere,2057,64980,51518,13461
Grunnskolelærere,2058,65183,51260,13923
Grunnskolelærere,2059,65337,50994,14343
Grunnskolelærere,2060,65456,50731,14726
Lektorutdannede,2024,5534,5534,0
Lektorutdannede,2025,5962,5573,388
Lektorutdannede,2026,6432,5594,838
Lektorutdannede,2027,6903,5592,1311
Lektorutdannede,2028,7374,5580,1794
Lektorutdannede,2029,7844,5553,2291
Lektorutdannede,2030,8308,5524,2784
Lektorutdannede,2031,8769,5503,3266
Lektorutdannede,2032,9220,5488,3733
Lektorutdannede,2033,9668,5483,4185
Lektorutdannede,2034,10103,5470,4633
Lektorutdannede,2035,10533,5453,5080
Lektorutdannede,2036,10954,5439,5514
Lektorutdannede,2037,11370,5434,5936
Lektorutdannede,2038,11782,5450,6333
Lektorutdannede,2039,12191,5450,6741
Lektorutdannede,2040,12590,5455,7135
Lektorutdannede,2041,12990,5459,7531
Lektorutdannede,2042,13389,5488,7901
Lektorutdannede,2043,13786,5521,8265
Lektorutdannede,2044,14177,5553,8624
Lektorutdannede,2045,14569,5581,8988
Lektorutdannede,2046,14955,5603,9352
Lektorutdannede,2047,15337,5621,9716
Lektorutdannede,2048,15706,5637,10069
Lektorutdannede,2049,16067,5653,10414
Lektorutdannede,2050,16414,5666,10749
Lektorutdannede,2051,16754,5677,11077
Lektorutdannede,2052,17079,5685,11393
